class	goal_id	truth	engine	tier	verdict	ms	model
arith_lin	l1	F	nitpick	1	genuine	539	na
arith_lin	l2	F	nitpick	1	genuine	545	na
arith_lin	l3	F	nitpick	1	genuine	546	na
arith_lin	l4	F	nitpick	1	genuine	554	na
arith_lin	l5	T	nitpick	1	none	599	na
arith_lin	l6	T	nitpick	1	none	586	na
arith_lin	l7	T	nitpick	1	none	609	na
arith_nl	n1	T	nitpick	1	unknown	1086	na
arith_nl	n2	F	nitpick	1	genuine	580	na
arith_nl	n3	F	nitpick	1	genuine	577	na
arith_nl	n4	F	nitpick	1	genuine	551	na
arith_nl	n5	T	nitpick	1	unknown	1096	na
arith_nl	n6	T	nitpick	1	unknown	1055	na
arith_nl	n7	F	nitpick	1	genuine	510	na
arith_nl	n8	T	nitpick	1	unknown	1145	na
list	ls1	F	nitpick	1	genuine	576	na
list	ls2	F	nitpick	1	genuine	680	na
list	ls3	F	nitpick	1	genuine	578	na
list	ls4	F	nitpick	1	genuine	646	na
list	ls5	T	nitpick	1	unknown	1435	na
list	ls6	T	nitpick	1	unknown	1093	na
list	ls7	T	nitpick	1	unknown	1126	na
list	ls8	F	nitpick	1	genuine	617	na
opt	o1	F	nitpick	1	genuine	615	na
opt	o2	F	nitpick	1	genuine	577	na
opt	o3	F	nitpick	1	genuine	584	na
opt	o4	T	nitpick	1	unknown	1205	na
opt	o5	T	nitpick	1	none	51	na
opt	o6	F	nitpick	1	genuine	566	na
opt	o7	T	nitpick	1	none	51	na
set	s1	F	nitpick	1	genuine	544	na
set	s2	F	nitpick	1	potential	751	na
set	s3	T	nitpick	1	none	507	na
set	s4	T	nitpick	1	none	530	na
set	s5	F	nitpick	1	genuine	514	na
set	s6	T	nitpick	1	none	50	na
quant	q1	F	nitpick	1	genuine	520	na
quant	q2	T	nitpick	1	potential	551	na
quant	q3	F	nitpick	1	genuine	565	na
quant	q4	T	nitpick	1	none	546	na
quant	q5	F	nitpick	1	genuine	558	na
quant	q6	T	nitpick	1	unknown	1465	na
exwrap	e1	F	nitpick	1	none	701	na
exwrap	e2	T	nitpick	1	none	747	na
exwrap	e3	F	nitpick	1	unknown	523	na
exwrap	e4	T	nitpick	1	none	527	na
exwrap	e5	F	nitpick	1	potential	584	na
exwrap	e6	T	nitpick	1	unknown	492	na
exwrap	e7	F	nitpick	1	none	542	na
ho	h1	F	nitpick	1	genuine	565	na
ho	h2	F	nitpick	1	genuine	607	na
ho	h3	T	nitpick	1	unknown	1407	na
ho	h4	T	nitpick	1	none	56	na
ho	h5	F	nitpick	1	genuine	618	na
ho	h6	T	nitpick	1	none	600	na
ho	h7	F	nitpick	1	genuine	495	na
ho	h8	T	nitpick	1	none	63	na
arith_lin	l1	F	nitpick	5	genuine	594	na
arith_lin	l2	F	nitpick	5	genuine	577	na
arith_lin	l3	F	nitpick	5	genuine	610	na
arith_lin	l4	F	nitpick	5	genuine	560	na
arith_lin	l5	T	nitpick	5	none	587	na
arith_lin	l6	T	nitpick	5	none	585	na
arith_lin	l7	T	nitpick	5	none	580	na
arith_nl	n1	T	nitpick	5	none	3129	na
arith_nl	n2	F	nitpick	5	genuine	573	na
arith_nl	n3	F	nitpick	5	genuine	596	na
arith_nl	n4	F	nitpick	5	genuine	549	na
arith_nl	n5	T	nitpick	5	unknown	5427	na
arith_nl	n6	T	nitpick	5	none	2824	na
arith_nl	n7	F	nitpick	5	genuine	570	na
arith_nl	n8	T	nitpick	5	none	4056	na
list	ls1	F	nitpick	5	genuine	571	na
list	ls2	F	nitpick	5	genuine	645	na
list	ls3	F	nitpick	5	genuine	581	na
list	ls4	F	nitpick	5	genuine	635	na
list	ls5	T	nitpick	5	none	3888	na
list	ls6	T	nitpick	5	none	1772	na
list	ls7	T	nitpick	5	unknown	5137	na
list	ls8	F	nitpick	5	genuine	613	na
opt	o1	F	nitpick	5	genuine	599	na
opt	o2	F	nitpick	5	genuine	565	na
opt	o3	F	nitpick	5	genuine	558	na
opt	o4	T	nitpick	5	none	1056	na
opt	o5	T	nitpick	5	none	46	na
opt	o6	F	nitpick	5	genuine	562	na
opt	o7	T	nitpick	5	none	45	na
set	s1	F	nitpick	5	genuine	529	na
set	s2	F	nitpick	5	genuine	1356	na
set	s3	T	nitpick	5	none	520	na
set	s4	T	nitpick	5	none	518	na
set	s5	F	nitpick	5	genuine	520	na
set	s6	T	nitpick	5	none	47	na
quant	q1	F	nitpick	5	genuine	513	na
quant	q2	T	nitpick	5	potential	613	na
quant	q3	F	nitpick	5	genuine	544	na
quant	q4	T	nitpick	5	none	548	na
quant	q5	F	nitpick	5	genuine	556	na
quant	q6	T	nitpick	5	unknown	5423	na
exwrap	e1	F	nitpick	5	none	596	na
exwrap	e2	T	nitpick	5	none	742	na
exwrap	e3	F	nitpick	5	unknown	614	na
exwrap	e4	T	nitpick	5	none	539	na
exwrap	e5	F	nitpick	5	potential	644	na
exwrap	e6	T	nitpick	5	unknown	500	na
exwrap	e7	F	nitpick	5	none	552	na
ho	h1	F	nitpick	5	genuine	550	na
ho	h2	F	nitpick	5	genuine	626	na
ho	h3	T	nitpick	5	unknown	5433	na
ho	h4	T	nitpick	5	none	47	na
ho	h5	F	nitpick	5	genuine	673	na
ho	h6	T	nitpick	5	none	571	na
ho	h7	F	nitpick	5	genuine	512	na
ho	h8	T	nitpick	5	none	44	na
arith_lin	l1	F	nunchaku	1	genuine	37	yes
arith_lin	l2	F	nunchaku	1	genuine	39	yes
arith_lin	l3	F	nunchaku	1	unknown	2505	na
arith_lin	l4	F	nunchaku	1	genuine	42	yes
arith_lin	l5	T	nunchaku	1	unknown	2010	na
arith_lin	l6	T	nunchaku	1	unknown	2015	na
arith_lin	l7	T	nunchaku	1	unknown	2009	na
arith_nl	n1	T	nunchaku	1	unknown	2015	na
arith_nl	n2	F	nunchaku	1	unknown	2017	na
arith_nl	n3	F	nunchaku	1	genuine	177	yes
arith_nl	n4	F	nunchaku	1	genuine	98	no
arith_nl	n5	T	nunchaku	1	unknown	2010	na
arith_nl	n6	T	nunchaku	1	unknown	2020	na
arith_nl	n7	F	nunchaku	1	genuine	132	yes
arith_nl	n8	T	nunchaku	1	unknown	2010	na
list	ls1	F	nunchaku	1	genuine	40	yes
list	ls2	F	nunchaku	1	unknown	2013	na
list	ls3	F	nunchaku	1	genuine	77	yes
list	ls4	F	nunchaku	1	genuine	195	no
list	ls5	T	nunchaku	1	unknown	2012	na
list	ls6	T	nunchaku	1	unknown	2011	na
list	ls7	T	nunchaku	1	unknown	2014	na
list	ls8	F	nunchaku	1	genuine	47	yes
opt	o1	F	nunchaku	1	genuine	47	yes
opt	o2	F	nunchaku	1	genuine	49	yes
opt	o3	F	nunchaku	1	genuine	48	yes
opt	o4	T	nunchaku	1	none	52	na
opt	o5	T	nunchaku	1	none	62	na
opt	o6	F	nunchaku	1	genuine	69	yes
opt	o7	T	nunchaku	1	none	75	na
set	s1	F	nunchaku	1	genuine	191	no
set	s2	F	nunchaku	1	unknown	2045	na
set	s3	T	nunchaku	1	none	322	na
set	s4	T	nunchaku	1	unknown	2010	na
set	s5	F	nunchaku	1	genuine	47	no
set	s6	T	nunchaku	1	none	48	na
quant	q1	F	nunchaku	1	unknown	2009	na
quant	q2	T	nunchaku	1	unknown	2010	na
quant	q3	F	nunchaku	1	unknown	2011	na
quant	q4	T	nunchaku	1	none	50	na
quant	q5	F	nunchaku	1	genuine	56	yes
quant	q6	T	nunchaku	1	unknown	2024	na
exwrap	e1	F	nunchaku	1	unknown	2009	na
exwrap	e2	T	nunchaku	1	none	80	na
exwrap	e3	F	nunchaku	1	unknown	642	na
exwrap	e4	T	nunchaku	1	none	41	na
exwrap	e5	F	nunchaku	1	unknown	728	na
exwrap	e6	T	nunchaku	1	unknown	625	na
exwrap	e7	F	nunchaku	1	unknown	623	na
ho	h1	F	nunchaku	1	unknown	1780	na
ho	h2	F	nunchaku	1	genuine	81	no
ho	h3	T	nunchaku	1	unknown	2015	na
ho	h4	T	nunchaku	1	none	30	na
ho	h5	F	nunchaku	1	unknown	2015	na
ho	h6	T	nunchaku	1	none	37	na
ho	h7	F	nunchaku	1	unknown	1798	na
ho	h8	T	nunchaku	1	unknown	606	na
arith_lin	l1	F	nunchaku	5	genuine	37	yes
arith_lin	l2	F	nunchaku	5	genuine	37	yes
arith_lin	l3	F	nunchaku	5	unknown	6521	na
arith_lin	l4	F	nunchaku	5	genuine	40	yes
arith_lin	l5	T	nunchaku	5	unknown	6013	na
arith_lin	l6	T	nunchaku	5	unknown	6019	na
arith_lin	l7	T	nunchaku	5	unknown	6014	na
arith_nl	n1	T	nunchaku	5	unknown	6022	na
arith_nl	n2	F	nunchaku	5	unknown	6020	na
arith_nl	n3	F	nunchaku	5	genuine	176	yes
arith_nl	n4	F	nunchaku	5	genuine	97	no
arith_nl	n5	T	nunchaku	5	unknown	6013	na
arith_nl	n6	T	nunchaku	5	unknown	6022	na
arith_nl	n7	F	nunchaku	5	genuine	111	yes
arith_nl	n8	T	nunchaku	5	unknown	6013	na
list	ls1	F	nunchaku	5	genuine	40	yes
list	ls2	F	nunchaku	5	genuine	1373	yes
list	ls3	F	nunchaku	5	genuine	76	yes
list	ls4	F	nunchaku	5	genuine	163	no
list	ls5	T	nunchaku	5	unknown	6021	na
list	ls6	T	nunchaku	5	unknown	6016	na
list	ls7	T	nunchaku	5	unknown	6022	na
list	ls8	F	nunchaku	5	genuine	39	yes
opt	o1	F	nunchaku	5	genuine	37	yes
opt	o2	F	nunchaku	5	genuine	35	yes
opt	o3	F	nunchaku	5	genuine	41	yes
opt	o4	T	nunchaku	5	none	35	na
opt	o5	T	nunchaku	5	none	35	na
opt	o6	F	nunchaku	5	genuine	41	yes
opt	o7	T	nunchaku	5	none	35	na
set	s1	F	nunchaku	5	genuine	83	no
set	s2	F	nunchaku	5	unknown	6023	na
set	s3	T	nunchaku	5	none	146	na
set	s4	T	nunchaku	5	none	3815	na
set	s5	F	nunchaku	5	genuine	37	no
set	s6	T	nunchaku	5	none	37	na
quant	q1	F	nunchaku	5	unknown	4598	na
quant	q2	T	nunchaku	5	unknown	5267	na
quant	q3	F	nunchaku	5	unknown	4904	na
quant	q4	T	nunchaku	5	none	28	na
quant	q5	F	nunchaku	5	genuine	32	yes
quant	q6	T	nunchaku	5	unknown	4364	na
exwrap	e1	F	nunchaku	5	unknown	5202	na
exwrap	e2	T	nunchaku	5	none	53	na
exwrap	e3	F	nunchaku	5	unknown	5315	na
exwrap	e4	T	nunchaku	5	none	34	na
exwrap	e5	F	nunchaku	5	unknown	5496	na
exwrap	e6	T	nunchaku	5	unknown	5000	na
exwrap	e7	F	nunchaku	5	unknown	4779	na
ho	h1	F	nunchaku	5	unknown	4798	na
ho	h2	F	nunchaku	5	genuine	65	no
ho	h3	T	nunchaku	5	unknown	6016	na
ho	h4	T	nunchaku	5	none	31	na
ho	h5	F	nunchaku	5	unknown	5888	na
ho	h6	T	nunchaku	5	none	31	na
ho	h7	F	nunchaku	5	unknown	5472	na
ho	h8	T	nunchaku	5	unknown	5476	na
arith_lin	l1	F	nunchaku_ship	1	genuine	38	yes
arith_lin	l2	F	nunchaku_ship	1	genuine	29	yes
arith_lin	l3	F	nunchaku_ship	1	unknown	1537	na
arith_lin	l4	F	nunchaku_ship	1	genuine	26	yes
arith_lin	l5	T	nunchaku_ship	1	unknown	2008	na
arith_lin	l6	T	nunchaku_ship	1	unknown	2016	na
arith_lin	l7	T	nunchaku_ship	1	unknown	2008	na
arith_nl	n1	T	nunchaku_ship	1	unknown	1822	na
arith_nl	n2	F	nunchaku_ship	1	unknown	2013	na
arith_nl	n3	F	nunchaku_ship	1	genuine	171	yes
arith_nl	n4	F	nunchaku_ship	1	genuine	92	no
arith_nl	n5	T	nunchaku_ship	1	unknown	2009	na
arith_nl	n6	T	nunchaku_ship	1	unknown	2019	na
arith_nl	n7	F	nunchaku_ship	1	genuine	32	yes
arith_nl	n8	T	nunchaku_ship	1	unknown	2008	na
list	ls1	F	nunchaku_ship	1	genuine	34	yes
list	ls2	F	nunchaku_ship	1	genuine	33	yes
list	ls3	F	nunchaku_ship	1	genuine	29	yes
list	ls4	F	nunchaku_ship	1	genuine	39	yes
list	ls5	T	nunchaku_ship	1	unknown	2012	na
list	ls6	T	nunchaku_ship	1	unknown	2009	na
list	ls7	T	nunchaku_ship	1	unknown	2015	na
list	ls8	F	nunchaku_ship	1	genuine	31	yes
opt	o1	F	nunchaku_ship	1	genuine	29	yes
opt	o2	F	nunchaku_ship	1	genuine	30	yes
opt	o3	F	nunchaku_ship	1	genuine	28	yes
opt	o4	T	nunchaku_ship	1	none	26	na
