class	goal_id	truth	engine	tier	verdict	ms	model
datatype	d1	F	nitpick	1	genuine	604	na
datatype	d2	F	nitpick	1	genuine	697	na
datatype	d3	F	nitpick	1	genuine	584	na
datatype	d4	F	nitpick	1	genuine	616	na
datatype	d5	F	nitpick	1	genuine	584	na
datatype	d6	F	nitpick	1	genuine	577	na
datatype	d7	F	nitpick	1	genuine	552	na
datatype	d8	F	nitpick	1	genuine	520	na
datatype	d9	T	nitpick	1	unknown	1328	na
datatype	d10	T	nitpick	1	unknown	1118	na
datatype	d11	T	nitpick	1	unknown	1464	na
datatype	d12	T	nitpick	1	unknown	1448	na
datatype	d13	T	nitpick	1	none	586	na
datatype	d14	T	nitpick	1	none	791	na
datatype	d15	T	nitpick	1	none	775	na
datatype	d16	T	nitpick	1	unknown	1476	na
arith_bigwit	b1	F	nitpick	1	none	112	na
arith_bigwit	b2	F	nitpick	1	none	105	na
arith_bigwit	b3	F	nitpick	1	none	110	na
arith_bigwit	b4	F	nitpick	1	none	101	na
arith_bigwit	b5	T	nitpick	1	none	65	na
datatype	d1	F	nitpick	5	genuine	581	na
datatype	d2	F	nitpick	5	genuine	652	na
datatype	d3	F	nitpick	5	genuine	597	na
datatype	d4	F	nitpick	5	genuine	634	na
datatype	d5	F	nitpick	5	genuine	588	na
datatype	d6	F	nitpick	5	genuine	548	na
datatype	d7	F	nitpick	5	genuine	502	na
datatype	d8	F	nitpick	5	genuine	576	na
datatype	d9	T	nitpick	5	none	2649	na
datatype	d10	T	nitpick	5	unknown	5426	na
datatype	d11	T	nitpick	5	none	4640	na
datatype	d12	T	nitpick	5	unknown	5409	na
datatype	d13	T	nitpick	5	none	532	na
datatype	d14	T	nitpick	5	none	697	na
datatype	d15	T	nitpick	5	none	803	na
datatype	d16	T	nitpick	5	unknown	5409	na
arith_bigwit	b1	F	nitpick	5	none	47	na
arith_bigwit	b2	F	nitpick	5	none	48	na
arith_bigwit	b3	F	nitpick	5	none	47	na
arith_bigwit	b4	F	nitpick	5	none	47	na
arith_bigwit	b5	T	nitpick	5	none	47	na
datatype	d1	F	nunchaku	1	genuine	38	yes
datatype	d2	F	nunchaku	1	unknown	2012	na
datatype	d3	F	nunchaku	1	genuine	80	no
datatype	d4	F	nunchaku	1	unknown	2011	na
datatype	d5	F	nunchaku	1	genuine	49	yes
datatype	d6	F	nunchaku	1	genuine	34	yes
datatype	d7	F	nunchaku	1	genuine	38	yes
datatype	d8	F	nunchaku	1	genuine	44	yes
datatype	d9	T	nunchaku	1	unknown	2010	na
datatype	d10	T	nunchaku	1	unknown	2011	na
datatype	d11	T	nunchaku	1	unknown	2011	na
datatype	d12	T	nunchaku	1	unknown	2017	na
datatype	d13	T	nunchaku	1	none	37	na
datatype	d14	T	nunchaku	1	none	34	na
datatype	d15	T	nunchaku	1	unknown	2010	na
datatype	d16	T	nunchaku	1	unknown	2013	na
arith_bigwit	b1	F	nunchaku	1	unknown	2011	na
arith_bigwit	b2	F	nunchaku	1	unknown	2712	na
arith_bigwit	b3	F	nunchaku	1	genuine	616	no
arith_bigwit	b4	F	nunchaku	1	unknown	2015	na
arith_bigwit	b5	T	nunchaku	1	unknown	2014	na
datatype	d1	F	nunchaku	5	genuine	40	yes
datatype	d2	F	nunchaku	5	unknown	6016	na
datatype	d3	F	nunchaku	5	genuine	90	no
datatype	d4	F	nunchaku	5	genuine	978	yes
datatype	d5	F	nunchaku	5	genuine	55	yes
datatype	d6	F	nunchaku	5	genuine	34	yes
datatype	d7	F	nunchaku	5	genuine	32	yes
datatype	d8	F	nunchaku	5	genuine	40	yes
datatype	d9	T	nunchaku	5	unknown	6014	na
datatype	d10	T	nunchaku	5	unknown	6015	na
datatype	d11	T	nunchaku	5	unknown	6015	na
datatype	d12	T	nunchaku	5	unknown	6021	na
datatype	d13	T	nunchaku	5	none	37	na
datatype	d14	T	nunchaku	5	none	26	na
datatype	d15	T	nunchaku	5	unknown	6014	na
datatype	d16	T	nunchaku	5	unknown	6017	na
arith_bigwit	b1	F	nunchaku	5	unknown	6016	na
arith_bigwit	b2	F	nunchaku	5	unknown	6563	na
arith_bigwit	b3	F	nunchaku	5	genuine	469	no
arith_bigwit	b4	F	nunchaku	5	unknown	6015	na
arith_bigwit	b5	T	nunchaku	5	unknown	6017	na
datatype	d1	F	nunchaku_ship	1	genuine	41	yes
datatype	d2	F	nunchaku_ship	1	genuine	37	yes
datatype	d3	F	nunchaku_ship	1	genuine	78	no
datatype	d4	F	nunchaku_ship	1	genuine	1738	yes
datatype	d5	F	nunchaku_ship	1	genuine	31	yes
datatype	d6	F	nunchaku_ship	1	genuine	28	yes
datatype	d7	F	nunchaku_ship	1	genuine	27	yes
datatype	d8	F	nunchaku_ship	1	genuine	27	yes
datatype	d9	T	nunchaku_ship	1	unknown	2009	na
datatype	d10	T	nunchaku_ship	1	unknown	2012	na
datatype	d11	T	nunchaku_ship	1	unknown	2011	na
datatype	d12	T	nunchaku_ship	1	unknown	2016	na
datatype	d13	T	nunchaku_ship	1	none	28	na
datatype	d14	T	nunchaku_ship	1	none	26	na
datatype	d15	T	nunchaku_ship	1	unknown	2010	na
datatype	d16	T	nunchaku_ship	1	unknown	2014	na
arith_bigwit	b1	F	nunchaku_ship	1	unknown	2011	na
arith_bigwit	b2	F	nunchaku_ship	1	unknown	2559	na
arith_bigwit	b3	F	nunchaku_ship	1	unknown	41	na
